PostId,PostCreationDate,OwnerUserId,OwnerCreationDate,ReputationAtPostCreation,OwnerUndeletedAnswerCountAtPostTime,Title,BodyMarkdown,Tag1,Tag2,Tag3,Tag4,Tag5,PostClosedDate,OpenStatus
25,08/01/2008 12:13:50,23,08/01/2008 12:11:43,1,0,,,c++,c,sockets,zos,,,open
42,08/01/2008 12:50:18,37,08/01/2008 12:44:00,1,0,,,php,architecture,plug-ins,,,,open
48,08/01/2008 13:01:17,40,08/01/2008 12:48:12,1,0,,,html,forms,,,,,open
79,08/01/2008 13:56:33,58,08/01/2008 13:56:33,1,0,,,subversion,eclipse,subclipse,aptana,,,open
123,08/01/2008 16:08:52,78,08/01/2008 16:03:23,1,0,,,csv,xml,java,,,,open
146,08/01/2008 17:14:58,30,08/01/2008 12:25:44,1,0,,,php,apache,,,,,open
164,08/01/2008 18:02:22,91,08/01/2008 17:55:22,1,0,,,windows,media,embed,,,,open
177,08/01/2008 18:37:55,83,08/01/2008 16:31:56,16,4,,,pdf,.net,,,,04/25/2012 11:32:29,not constructive
192,08/01/2008 19:23:13,91,08/01/2008 17:55:22,1,0,,,.net,c#,vb.net,asp.net,,,open
194,08/01/2008 19:26:37,60,08/01/2008 14:04:09,41,5,,,mssql,migration,,,,,open
260,08/01/2008 23:22:08,91,08/01/2008 17:55:22,39,10,,,c#,script,jit,compiler,.net,,open
265,08/01/2008 23:29:32,105,08/01/2008 23:29:32,1,0,,,svn,bestpractices,subversion,collaboration,,,open
313,08/02/2008 02:02:36,34,08/01/2008 12:39:52,164,11,,,sql,.net,,,,,open
337,08/02/2008 03:35:55,111,08/02/2008 03:35:55,1,0,,,python,xml,,,,,open
415,08/02/2008 11:40:44,123,08/02/2008 08:01:26,1,1,,,spamthreat,,,,,,open
429,08/02/2008 12:27:53,111,08/02/2008 03:35:55,8,1,,,windows,,,,,,open
438,08/02/2008 12:56:58,136,08/02/2008 10:21:53,14,4,,,rubyonrails,ruby-on-rails,ruby,,,,open
535,08/02/2008 18:43:54,154,08/02/2008 17:32:17,1,3,,,python,tools,extremeprogramming,,,,open
564,08/02/2008 21:47:34,25,08/01/2008 12:15:23,10,3,,,c,,,,,,open
601,08/03/2008 02:05:59,90,08/01/2008 17:44:12,1,1,,,c#,c++,random,,,,open
610,08/03/2008 03:01:47,145,08/02/2008 14:40:17,1,2,,,language-agnostic,gui,api,,,,open
650,08/03/2008 11:12:52,143,08/02/2008 12:45:43,11,2,,,c#,.net,visual-studio,,,,open
651,08/03/2008 11:21:54,192,08/03/2008 10:15:38,1,0,,,asp.net,iis,authentication,activedirectory,,,open
657,08/03/2008 11:50:33,115,08/02/2008 05:44:40,18,10,,,encryption,passwords,php,,,,open
683,08/03/2008 13:19:16,199,08/03/2008 12:26:21,1,1,,,python,array,objects,iteration,,,open
705,08/03/2008 14:41:43,91,08/01/2008 17:55:22,214,20,,,.net,database,embedded,,,,open
709,08/03/2008 14:53:53,111,08/02/2008 03:35:55,56,5,,,c#,.net,visual-studio,unit-testing,,,open
761,08/03/2008 17:30:20,214,08/03/2008 15:12:30,1,1,,,internationalization,.net,c#,vb.net,asp.net,,open
769,08/03/2008 18:14:24,79,08/01/2008 16:05:09,1,0,,,math,linear,solving,,,,open
826,08/03/2008 21:08:54,101,08/01/2008 20:47:39,56,4,,,algorithm,language-agnostic,,,,,open
855,08/03/2008 22:03:37,93,08/01/2008 18:23:58,116,2,,,visual-studio,documentation,xslt,sandcastle,,,open
871,08/03/2008 22:38:29,203,08/03/2008 13:26:47,1,1,,,subversion,git,,,,,open
918,08/04/2008 00:33:54,243,08/03/2008 23:49:51,11,2,,,python,,,,,05/14/2012 17:06:07,not constructive
959,08/04/2008 01:55:02,203,08/03/2008 13:26:47,15,1,,,conferences,,,,,06/29/2010 14:09:01,not constructive
1069,08/04/2008 07:30:01,257,08/04/2008 07:30:01,1,0,,,c++,debugging,heap,windows,purify,,open
1104,08/04/2008 10:01:37,236,08/03/2008 20:50:07,6,2,,,c++,exception,,,,,open
1145,08/04/2008 11:06:00,188,08/03/2008 08:34:56,36,3,,,c,malloc,,,,,open
1241,08/04/2008 13:52:25,194,08/03/2008 10:56:49,1,0,,,c#,c++,sockets,,,,open
1261,08/04/2008 14:06:48,292,08/04/2008 13:14:31,1,1,,,cvs,svn,subversion,versioncontrol,,,open
1276,08/04/2008 14:31:11,30,08/01/2008 12:25:44,72,6,,,database,mysql,,,,,open
1300,08/04/2008 14:55:04,91,08/01/2008 17:55:22,861,60,,,.net,msbuild,nant,,,,open
1311,08/04/2008 15:02:41,306,08/04/2008 14:09:03,11,1,,,c,audio,rockbox,,,,open
1313,08/04/2008 15:08:13,65,08/01/2008 14:39:27,90,3,,,language-agnostic,colors,,,,,open
1376,08/04/2008 16:05:29,26,08/01/2008 12:18:14,21,5,,,flex,air,,,,,open
1408,08/04/2008 16:54:49,58,08/01/2008 13:56:33,747,33,,,xampp,apache,php,serverconfiguration,,,open
1417,08/04/2008 17:02:31,287,08/04/2008 12:43:38,1,0,,,php,apache,authentication,,,,open
1505,08/04/2008 19:02:36,83,08/01/2008 16:31:56,124,16,,,html,favicon,iphone,,,,open
1598,08/04/2008 21:17:51,83,08/01/2008 16:31:56,186,21,,,iphone,favicon,apple-touch-icon,,,,open
